Title,Author_Institution
Redistribution of lamina-associated domains reshapes binding of pioneer factor FOXA2 in development of nonalcoholic fatty liver disease,"[('Xiaolong Wei', 'https://www.researchgate.net/scientific-contributions/Xiaolong-Wei-2173277642', ' ', ' '), ('Megan A Murphy', 'https://www.researchgate.net/scientific-contributions/Megan-A-Murphy-2238517399', ' ', ' '), ('Nihal A Reddy', 'https://www.researchgate.net/scientific-contributions/Nihal-A-Reddy-2238530950', ' ', ' '), ('Yi Hao', 'https://www.researchgate.net/scientific-contributions/Yi-Hao-2238512277', ' ', ' ')]"
G-quadruplexes sense natural porphyrin metabolites for regulation of gene transcription and chromatin landscapes,"[('Conghui Li', 'https://www.researchgate.net/scientific-contributions/Conghui-Li-2190069319', ' ', ' '), ('Zhinang Yin', 'https://www.researchgate.net/scientific-contributions/Zhinang-Yin-2184688916', ' ', ' '), ('Ruijing Xiao', 'https://www.researchgate.net/scientific-contributions/Ruijing-Xiao-2168737732', ' ', ' '), ('Beili Huang', 'https://www.researchgate.net/scientific-contributions/Beili-Huang-2199791748', ' ', ' ')]"
A potential role for SARS-CoV-2 small viral RNAs in targeting host microRNAs and modulating gene expression,"[('Zach Neeb', 'https://www.researchgate.net/profile/Zach-Neeb', 'University of California, Santa Cruz', 'https://www.researchgate.net/institution/University_of_California_Santa_Cruz'), ('Alexander J. Ritter', 'https://www.researchgate.net/scientific-contributions/Alexander-J-Ritter-2238599397', ' ', ' '), ('Lokendra V. Chauhan', 'https://www.researchgate.net/scientific-contributions/Lokendra-V-Chauhan-2081550759', ' ', ' '), ('Sol Katzman', 'https://www.researchgate.net/scientific-contributions/Sol-Katzman-38237339', ' ', ' ')]"
Chitin synthase gene regulation in Fungal species:An insight,"[('Kritika Gupta', 'https://www.researchgate.net/profile/Kritika-Gupta-4', 'Institute of Chemical Technology, Mumbai', 'https://www.researchgate.net/institution/Institute-of-Chemical-Technology-Mumbai'), ('Akshita Angirishi', 'https://www.researchgate.net/profile/Akshita-Angirishi', 'Institute of Chemical Technology, Mumbai', 'https://www.researchgate.net/institution/Institute-of-Chemical-Technology-Mumbai'), ('Ratnesh Jain', 'https://www.researchgate.net/profile/Ratnesh-Jain', 'Institute of Chemical Technology, Mumbai', 'https://www.researchgate.net/institution/Institute-of-Chemical-Technology-Mumbai'), ('Prajakta Dandekar', 'https://www.researchgate.net/profile/Prajakta-Dandekar', 'Institute of Chemical Technology, Mumbai', 'https://www.researchgate.net/institution/Institute-of-Chemical-Technology-Mumbai')]"
An atlas of small RNAs from potato,"[('Patricia Baldrich', 'https://www.researchgate.net/profile/Patricia-Baldrich', 'Donald Danforth Plant Science Center', 'https://www.researchgate.net/institution/Donald_Danforth_Plant_Science_Center'), ('Alexander Liu', 'https://www.researchgate.net/scientific-contributions/Alexander-Liu-2238642644', ' ', ' '), ('Blake C Meyers', 'https://www.researchgate.net/profile/Blake-Meyers', 'Donald Danforth Plant Science Center', 'https://www.researchgate.net/institution/Donald_Danforth_Plant_Science_Center'), ('Vincent N Fondong', 'https://www.researchgate.net/profile/Vincent-Fondong', 'Delaware State University', 'https://www.researchgate.net/institution/Delaware-State-University')]"
Genetic evidence of aberrant striatal synaptic maturation and secretory pathway alteration in a dystonia mouse model,"[('Dhananjay Yellajoshyula', 'https://www.researchgate.net/scientific-contributions/Dhananjay-Yellajoshyula-13844688', ' ', ' '), ('Sunday Opeyemi', 'https://www.researchgate.net/scientific-contributions/Sunday-Opeyemi-2238453498', ' ', ' '), ('William T. Dauer', 'https://www.researchgate.net/scientific-contributions/William-T-Dauer-10483517', ' ', ' '), ('Samuel S Pappas', 'https://www.researchgate.net/profile/Samuel-Pappas-2', 'University of Michigan', 'https://www.researchgate.net/institution/University-of-Michigan')]"
Recurrent repeat expansions in human cancer genomes,"[('Graham S. Erwin', 'https://www.researchgate.net/scientific-contributions/Graham-S-Erwin-2238518129', ' ', ' '), ('Gamze Gürsoy', 'https://www.researchgate.net/scientific-contributions/Gamze-Guersoy-2150117174', ' ', ' '), ('Rashid Al-Abri', 'https://www.researchgate.net/scientific-contributions/Rashid-Al-Abri-2223838351', ' ', ' '), ('Ashwini Suriyaprakash', 'https://www.researchgate.net/scientific-contributions/Ashwini-Suriyaprakash-2229012122', ' ', ' ')]"
Phase-based genetic logic circuits,"[('Timothy J Rudge', 'https://www.researchgate.net/scientific-contributions/Timothy-Rudge-2114379734', ' ', ' '), ('Gonzalo Vidal Peña', 'https://www.researchgate.net/profile/Gonzalo-Vidal-Pena', 'Newcastle University', 'https://www.researchgate.net/institution/Newcastle-University')]"
"WNT5A, β‑catenin and SUFU expression patterns, and the significance of microRNA deregulation in placentas with intrauterine growth restriction","[('Ida Marija Sola', 'https://www.researchgate.net/scientific-contributions/Ida-Marija-Sola-2181177305', ' ', ' '), ('Valentina Karin-Kujundzic', 'https://www.researchgate.net/scientific-contributions/Valentina-Karin-Kujundzic-2238010542', ' ', ' '), ('Frane Paic', 'https://www.researchgate.net/scientific-contributions/Frane-Paic-29566820', ' ', ' '), ('Lada Lijović', 'https://www.researchgate.net/profile/Lada-Lijovic', 'University of Zagreb', 'https://www.researchgate.net/institution/University_of_Zagreb')]"
"Evolution and Expression Patterns of the Fructose 1,6-Bisphosptase Gene Family in a Miracle Tree (Neolamarckia cadamba)","[('Qingmin Que', 'https://www.researchgate.net/profile/Qingmin-Que', 'South China Agricultural University', 'https://www.researchgate.net/institution/South_China_Agricultural_University'), ('Xiaohan Liang', 'https://www.researchgate.net/scientific-contributions/Xiaohan-Liang-2238322624', ' ', ' '), ('Huiyun Song', 'https://www.researchgate.net/scientific-contributions/Huiyun-Song-2177138983', ' ', ' '), ('Chunmei Li', 'https://www.researchgate.net/scientific-contributions/Chunmei-Li-2182738076', ' ', ' ')]"
